sector,period,period_order,sector_health_score,corporate_health_score_median,sector_growth_score,growth_score_median,sector_profitability_score,profitability_score_median,sector_cash_conversion_score,cash_conversion_score_median,sector_working_capital_stress,working_capital_stress_score_median,sector_leverage_stress,leverage_stress_score_median,sector_balance_sheet_score,balance_sheet_resilience_score_median,sector_capital_allocation_score,capital_allocation_score_median,sector_matrix_consistency_score,matrix_consistency_score_median,company_count,sector_health_trend_yoy,sector_diffusion_label
Food & Beverage,2019Q2,8078,51.04733957408664,53.41313683601285,50.0,55.55555555555556,50.0,48.888888888888886,50.0,48.888888888888886,50.0,52.77777777777777,49.99999999999999,48.611111111111114,50.0,49.074074074074076,50.05555555555556,50.83333333333333,71.56034165928362,72.13554615706711,10,-0.23073947003100415,Mixed / Divergent
Health Care,2019Q2,8078,55.42448606801189,55.42448606801189,48.421052631578945,48.421052631578945,47.50438596491229,47.50438596491229,37.05263157894736,37.05263157894736,56.026785714285715,56.026785714285715,9.202896237657473,9.202896237657473,74.04168011231296,74.04168011231296,40.0177909562639,40.0177909562639,70.2209330165253,70.2209330165253,1,-9.752372971993921,Mixed Improvement
Industrial Goods & Services,2019Q2,8078,50.85890259210722,44.444269643660135,50.0,25.0,50.0,50.0,50.0,45.0,50.0,25.0,50.0,43.75,50.0,47.22222222222222,50.0,55.0,67.99693018643583,69.2876045508275,5,-0.41917645201042575,Mixed / Divergent
Insurance,2019Q2,8078,51.547684240479946,51.547684240479946,38.94736842105263,38.94736842105263,7.765350877192982,7.765350877192982,88.00000000000001,88.00000000000001,30.97267316017316,30.97267316017316,53.51693601342478,53.51693601342478,48.82519997004769,48.82519997004769,70.71905114899926,70.71905114899926,69.18505727490198,69.18505727490198,1,-1.6696653011705962,Mixed / Divergent
Oil & Gas,2019Q2,8078,45.9613419085306,45.9613419085306,42.36842105263158,42.36842105263158,26.11951754385965,26.11951754385965,44.8421052631579,44.8421052631579,35.237418831168824,35.237418831168824,49.04881225983754,49.04881225983754,51.42857394753307,51.42857394753307,50.26538176426983,50.26538176426983,74.84807096169128,74.84807096169128,2,-4.947379614751668,Mixed / Divergent
Personal & Household Goods,2019Q2,8078,57.22503570488654,57.22503570488654,47.36842105263158,47.36842105263158,55.04385964912281,55.04385964912281,35.15789473684211,35.15789473684211,43.662067099567096,43.662067099567096,23.316620762196607,23.316620762196607,71.12695085766067,71.12695085766067,55.14603409933283,55.14603409933283,71.7505943843066,71.7505943843066,2,0.8329789617588048,Mixed Improvement
Real Estate,2019Q2,8078,50.40657858899723,52.54314056600699,50.0,51.470588235294116,49.06318082788671,53.23529411764706,50.0,49.375,50.0,55.88235294117647,50.14978213507626,48.25367647058824,50.19715640885984,55.86703431372548,50.14756944444444,48.448660714285715,62.48662365856634,59.46533375798454,18,-0.9427254985232025,Mixed / Divergent
Retail,2019Q2,8078,51.1381178974365,33.250086438403535,50.0,75.0,50.0,45.0,50.0,50.0,50.0,50.0,50.0,62.5,50.0,50.0,50.0,55.0,73.44163076719302,65.68100158653355,3,-0.139961146681145,Mixed / Divergent
Technology,2019Q2,8078,47.74578741483107,47.74578741483107,42.63157894736842,42.63157894736842,45.26644736842105,45.26644736842105,43.78947368421052,43.78947368421052,39.15719696969697,39.15719696969697,51.08852114645654,51.08852114645654,47.05295797127241,47.05295797127241,47.53595255744996,47.53595255744996,72.41595688873443,72.41595688873443,2,-3.271450189896356,Mixed / Divergent
Travel & Leisure,2019Q2,8078,65.27768957082185,65.27768957082185,53.684210526315795,53.684210526315795,74.14035087719299,74.14035087719299,37.1578947368421,37.1578947368421,24.33035714285714,24.33035714285714,24.670454292118617,24.670454292118617,71.68594617193588,71.68594617193588,48.421052631578945,48.421052631578945,70.65184154026028,70.65184154026028,2,10.502331090364109,Broad Improvement
Unknown,2019Q2,8078,62.36694568429133,62.36694568429133,79.47368421052632,79.47368421052632,47.32675438596491,47.32675438596491,5.263157894736841,5.263157894736841,30.201569264069263,30.201569264069263,1.993145743145743,1.993145743145743,86.41189011489764,86.41189011489764,31.31578947368421,31.31578947368421,59.39268369712735,59.39268369712735,1,-3.4576863820302677,Mixed Improvement
Utilities,2019Q2,8078,50.227278147917076,44.47306506412709,50.0,55.0,50.0,56.0,50.0,56.0,50.0,55.0,50.0,50.0,50.0,50.0,50.0,56.0,55.68024871352415,57.75582387296147,6,-1.0508008962005704,Mixed / Divergent
Banks,2019Q3,8079,51.96593182924573,49.157972093294276,50.0,55.882352941176464,50.0,54.411764705882355,50.0,50.0,50.0,50.0,50.0,44.117647058823536,50.0,55.88235294117647,50.0,54.411764705882355,69.21832983186358,72.07977564088998,18,0.8348196968927937,Mixed / Divergent
Basic Resources,2019Q3,8079,51.62786799383787,52.28229525964881,49.99999999999999,49.99999999999999,50.0,53.33333333333333,50.0,45.0,49.99999999999999,58.33333333333333,50.0,54.166666666666664,50.0,48.148148148148145,50.0,51.66666666666667,62.62608246631369,62.56652184669918,4,0.4967558614849281,Mixed / Divergent
Chemicals,2019Q3,8079,52.24669571321832,52.22651682846397,50.0,25.0,50.0,65.0,50.0,55.0,50.0,50.0,50.0,37.5,50.0,58.333333333333336,50.0,55.0,74.69322770796106,73.23867666003646,5,1.1155835808653833,Mixed / Divergent
Construction & Materials,2019Q3,8079,51.54175152222902,41.509440687644236,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.1739417989418,43.035714285714285,49.64962836986646,49.24603174603175,50.0,51.42857142857142,65.51975090120158,59.90901003642952,9,0.30074932291179124,Mixed / Divergent
Financial Services,2019Q3,8079,50.396320107365014,51.42518948349565,50.0,50.0,50.0,52.5,50.0,43.75,52.77777777777778,50.0,51.570767195767196,36.25,48.95631246325691,51.911375661375665,49.791666666666664,47.142857142857146,55.20425349668906,53.58211332321905,9,0.036473445002158655,Mixed / Divergent
Food & Beverage,2019Q3,8079,51.87405044020126,54.26624464362395,50.0,58.33333333333333,50.0,53.33333333333333,50.0,41.11111111111111,50.0,50.0,50.0,47.22222222222223,50.0,50.61728395061728,50.0,51.80555555555556,67.42664204561834,66.56682241036845,10,0.7429383078483198,Mixed / Divergent
Health Care,2019Q3,8079,55.88025405024453,55.88025405024453,44.79166666666667,44.79166666666667,46.881578947368425,46.881578947368425,38.526315789473685,38.526315789473685,55.377435064935064,55.377435064935064,9.291074046228683,9.291074046228683,74.37863330601746,74.37863330601746,39.593567251461984,39.593567251461984,71.64022358929125,71.64022358929125,1,-9.230609706286046,Mixed Improvement
Industrial Goods & Services,2019Q3,8079,51.86883205785135,49.050693052585295,50.0,50.0,50.0,50.0,50.0,55.0,50.0,37.5,50.0,43.75,50.83333333333333,51.85185185185185,50.0,50.0,64.82488355004574,68.49483705926299,5,0.7377199254984106,Mixed / Divergent
Insurance,2019Q3,8079,62.97481673931457,62.97481673931457,77.60416666666667,77.60416666666667,9.857456140350877,9.857456140350877,88.8421052631579,88.8421052631579,33.056006493506494,33.056006493506494,54.179089810533114,54.179089810533114,52.11094690713519,52.11094690713519,67.65789473684211,67.65789473684211,71.12924920463978,71.12924920463978,1,9.892288365185308,Mixed Improvement
Oil & Gas,2019Q3,8079,46.531361900076675,46.531361900076675,24.739583333333332,24.739583333333332,25.906798245614034,25.906798245614034,60.52631578947367,60.52631578947367,36.864177489177486,36.864177489177486,46.45106826163527,46.45106826163527,54.10935484840935,54.10935484840935,52.917397660818715,52.917397660818715,75.59667939546807,75.59667939546807,2,-5.30626738107658,Mixed / Divergent
Personal & Household Goods,2019Q3,8079,56.251878429080264,56.251878429080264,44.270833333333336,44.270833333333336,53.58004385964913,53.58004385964913,36.526315789473685,36.526315789473685,42.55614177489177,42.55614177489177,28.658063371336567,28.658063371336567,65.85935008022197,65.85935008022197,59.777777777777786,59.777777777777786,67.52372555481426,67.52372555481426,2,0.7511760372579985,Mixed Improvement
Real Estate,2019Q3,8079,51.323928268918344,54.42150478743287,50.0,50.0,49.106753812636164,53.19852941176471,50.0,46.25,50.0,54.41176470588235,50.23148148148148,48.943014705882355,50.047941630355844,52.879901960784316,50.234375,47.622767857142854,60.354109818048414,57.541391087618265,18,0.19281613656540486,Mixed / Divergent
Retail,2019Q3,8079,52.256319718001095,68.05830807611255,50.0,25.0,50.0,30.0,50.0,70.0,50.0,50.0,50.0,25.0,50.0,66.66666666666667,50.0,55.0,74.880895874533,83.80705277739668,3,1.1252075856481554,Mixed / Divergent
Technology,2019Q3,8079,51.62988121303857,51.62988121303857,44.010416666666664,44.010416666666664,45.47039473684211,45.47039473684211,44.94736842105263,44.94736842105263,37.27002164502164,37.27002164502164,47.08830151806956,47.08830151806956,54.812513981667536,54.812513981667536,49.28508771929825,49.28508771929825,71.0094563968247,71.0094563968247,2,2.106294054079598,Mixed / Divergent
Travel & Leisure,2019Q3,8079,62.79477489355147,62.79477489355147,38.28125,38.28125,74.03837719298245,74.03837719298245,44.736842105263165,44.736842105263165,25.89285714285714,25.89285714285714,26.84347081898628,26.84347081898628,69.32498090293205,69.32498090293205,47.44663742690058,47.44663742690058,69.21449120113618,69.21449120113618,2,6.068166018624034,Mixed Improvement
Unknown,2019Q3,8079,79.70087134718686,79.70087134718686,60.93749999999999,60.93749999999999,54.82675438596491,54.82675438596491,93.89473684210527,93.89473684210527,42.70156926406927,42.70156926406927,2.1913367274192015,2.1913367274192015,85.88602726111446,85.88602726111446,55.26315789473685,55.26315789473685,76.97071718340064,76.97071718340064,1,14.02320619262997,Broad Improvement
Utilities,2019Q3,8079,51.371167669062864,51.546745307867546,50.0,55.0,50.0,50.0,50.0,58.0,50.0,40.0,50.0,50.0,50.0,52.22222222222222,50.0,54.0,57.6204241778658,59.63197695395941,6,0.2400555367099244,Mixed / Divergent
Banks,2019Q4,8080,50.45302369693448,48.1790045456959,50.0,49.50980392156863,50.0,53.529411764705884,50.0,50.0,50.0,47.05882352941176,50.0,50.0,50.0,52.205882352941174,50.0,48.529411764705884,69.05265059884034,67.98855924427735,18,-1.5219026077019606,Mixed / Divergent
Basic Resources,2019Q4,8080,49.82646796989886,55.48210025951125,49.999999999999986,55.55555555555555,49.999999999999986,53.333333333333314,50.0,51.666666666666664,49.99999999999999,58.33333333333333,50.0,47.222222222222214,50.0,50.0,50.0,50.0,56.83480914905155,57.33327446791484,4,-2.2624184041820286,Mixed / Divergent
Chemicals,2019Q4,8080,49.830147285406994,54.36379948907672,50.0,50.0,50.0,65.0,50.0,55.0,50.0,50.0,51.666666666666664,48.61111111111111,50.0,47.22222222222222,50.0,50.0,61.90655582948621,65.51597397102275,5,-2.502328737111384,Mixed / Divergent
Construction & Materials,2019Q4,8080,49.97962196109215,38.23855630389596,50.0,52.38095238095237,50.0,48.57142857142857,50.0,50.0,50.0,50.0,50.476741622574956,47.00396825396825,50.321239606953895,45.11904761904762,50.0,51.42857142857142,60.28781919078709,54.244019224421514,9,-2.341608862609398,Mixed / Divergent
Financial Services,2019Q4,8080,49.38395985406396,50.98394982593751,50.0,47.916666666666664,50.0,52.5,50.0,47.5,50.0,50.0,49.31878306878306,57.738095238095234,48.680004409171076,53.57142857142857,50.208333333333336,45.71428571428571,49.70556683177165,47.72674371285404,9,-0.28201528165005385,Mixed / Divergent
Food & Beverage,2019Q4,8080,50.10292749942097,50.44175080235837,50.0,60.18518518518519,50.0,51.1111111111111,50.0,52.222222222222214,50.0,49.99999999999999,50.0,48.148148148148145,50.0,52.46913580246914,50.0,52.77777777777778,62.22577208057761,57.526959487413016,10,-1.8957404863497302,Mixed / Divergent
Health Care,2019Q4,8080,58.248815884867,58.248815884867,56.79299645390071,56.79299645390071,47.723684210526315,47.723684210526315,32.083333333333336,32.083333333333336,50.147226443769,50.147226443769,7.689158493282204,7.689158493282204,79.82149949820415,79.82149949820415,39.946407113674596,39.946407113674596,72.02944728980842,72.02944728980842,1,1.7397815935523298,Mixed Improvement
Industrial Goods & Services,2019Q4,8080,49.81224569525414,56.80310318900863,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.00000000000001,47.22222222222222,50.0,55.0,56.55747468514589,52.065992100997185,5,-2.763819975701743,Mixed / Divergent
Insurance,2019Q4,8080,55.7026642796626,55.7026642796626,53.1286938534279,53.1286938534279,7.969298245614036,7.969298245614036,89.16666666666666,89.16666666666666,27.52170258819195,27.52170258819195,59.01096786330262,59.01096786330262,56.599638040563164,56.599638040563164,67.93243811583754,67.93243811583754,71.16757403440768,71.16757403440768,1,-2.0717490067235786,Mixed Improvement
Oil & Gas,2019Q4,8080,37.84124903565981,37.84124903565981,34.00007387706856,34.00007387706856,19.639254385964914,19.639254385964914,45.208333333333336,45.208333333333336,55.10611673344386,55.10611673344386,55.04593628077558,55.04593628077558,53.16283447432842,53.16283447432842,52.945385724585435,52.945385724585435,58.8091125456609,58.8091125456609,2,-11.462789391057164,Weakening
Personal & Household Goods,2019Q4,8080,58.73914125616153,58.73914125616153,66.47643321513003,66.47643321513003,56.305921052631575,56.305921052631575,31.354166666666668,31.354166666666668,44.30987064796905,44.30987064796905,35.273162715931065,35.273162715931065,66.15945246834649,66.15945246834649,58.61917207402067,58.61917207402067,70.6418877064803,70.6418877064803,2,11.958365272682045,Mixed Improvement
Real Estate,2019Q4,8080,50.590560478678945,48.106483781502945,51.08932461873638,50.52083333333333,49.106753812636164,56.06617647058823,50.0,50.588235294117645,48.8562091503268,49.126838235294116,49.68037400145243,47.35416666666666,49.96985445412733,50.60457516339869,50.202194535221494,48.047181372549026,65.15677756878753,64.76378925323773,18,-0.8875786298453292,Mixed / Divergent
Retail,2019Q4,8080,50.48794182885189,59.99455414323904,50.0,50.0,50.0,35.0,50.0,50.0,50.0,62.5,50.0,41.666666666666664,50.0,61.111111111111114,50.0,50.0,69.73355443720807,76.53246739161776,3,-0.019748581687331068,Mixed / Divergent
Technology,2019Q4,8080,54.109281853842745,54.109281853842745,56.3848256501182,56.3848256501182,46.21052631578947,46.21052631578947,44.0625,44.0625,37.48334168048264,37.48334168048264,43.846722253332324,43.846722253332324,56.705581927367064,56.705581927367064,48.383426459985586,48.383426459985586,74.44007209459025,74.44007209459025,2,4.360475303690251,Mixed / Divergent
Travel & Leisure,2019Q4,8080,54.24967058326637,54.24967058326637,33.03782505910166,33.03782505910166,72.46381578947368,72.46381578947368,48.75,48.75,47.722127717141014,47.722127717141014,42.358900443042344,42.358900443042344,70.83967549117216,70.83967549117216,44.874143835616444,44.874143835616444,61.01867568449266,61.01867568449266,2,-15.168562299159596,Mixed / Divergent
Unknown,2019Q4,8080,63.66155108966824,63.66155108966824,83.00827423167847,83.00827423167847,60.46929824561403,60.46929824561403,11.874999999999996,11.874999999999996,52.98751189708636,52.98751189708636,1.977661513743988,1.977661513743988,86.72948205193768,86.72948205193768,32.36842105263158,32.36842105263158,62.17070319958429,62.17070319958429,1,9.13041054124919,Mixed Improvement
Utilities,2019Q4,8080,49.72183859403206,49.13984298518938,50.0,50.0,50.0,56.0,50.0,48.0,50.0,52.5,50.0,50.0,50.0,48.888888888888886,50.0,58.0,54.79453552266713,56.07482161322625,6,-2.3670477800488285,Mixed / Divergent
Banks,2020Q1,8081,49.70859225130284,52.30537467061504,50.0,54.90196078431373,50.0,54.705882352941174,50.0,48.23529411764706,50.0,50.0,50.0,48.03921568627452,50.0,50.73529411764706,50.0,43.38235294117648,63.43131793377854,64.49817261208528,18,-2.730643361952879,Mixed / Divergent
Basic Resources,2020Q1,8081,49.59082951219906,57.58728155720067,50.0,47.222222222222214,49.999999999999986,56.66666666666665,49.99999999999999,46.66666666666666,49.99999999999999,50.0,49.99999999999999,47.22222222222222,50.0,46.2962962962963,50.0,53.33333333333333,61.134943624233564,61.53162497059102,4,-2.200258206091384,Mixed / Divergent
Chemicals,2020Q1,8081,48.61170096065722,60.85558251840257,46.66666666666667,45.833333333333336,50.0,65.0,50.0,45.0,50.0,50.0,51.25,40.27777777777778,50.0,52.77777777777778,50.0,55.0,62.458596077625735,65.03512256497513,5,-3.3973353904457255,Mixed / Divergent
Construction & Materials,2020Q1,8081,49.49118905487221,37.6399476539393,49.99999999999999,54.76190476190476,49.99999999999999,45.71428571428571,50.0,50.0,50.0,57.14285714285714,50.592482363315696,47.44047619047618,49.91155412782397,48.10846560846561,50.0,50.0,61.234738653855125,54.7895892849761,9,-3.607468723611909,Mixed / Divergent
Financial Services,2020Q1,8081,49.59607556881892,51.18521889310927,50.0,43.75,50.0,45.0,50.0,42.5,49.76851851851852,45.833333333333336,48.67151675485009,59.64285714285714,49.12643298059965,38.0952380952381,50.38194444444444,48.57142857142857,58.41415975769917,53.41487090434857,9,-1.388614644183967,Mixed / Divergent
Food & Beverage,2020Q1,8081,49.5172244559412,49.29794066581633,50.0,51.85185185185185,50.0,51.111111111111114,50.0,54.44444444444444,50.0,50.69444444444444,50.0,50.0,50.0,50.308641975308646,49.83333333333333,51.94444444444444,60.03297779987499,55.59087431219484,10,-2.7268547843399915,Mixed / Divergent
Health Care,2020Q1,8081,62.51740991465156,62.51740991465156,58.729897660818715,58.729897660818715,52.08333333333333,52.08333333333333,52.083333333333336,52.083333333333336,48.575197959280835,48.575197959280835,23.836813527667733,23.836813527667733,80.48362091849822,80.48362091849822,48.6472602739726,48.6472602739726,81.37785612292825,81.37785612292825,1,5.730917571975539,Mixed Improvement
Industrial Goods & Services,2020Q1,8081,49.31161553710935,48.06663293612712,50.0,45.833333333333336,50.0,45.0,50.0,60.0,50.0,43.75,50.0,50.0,50.90277777777778,42.59259259259259,50.0,45.0,52.98193564982498,52.17219767623804,5,-2.9794719858685994,Mixed / Divergent
Insurance,2020Q1,8081,52.71218640186049,52.71218640186049,41.29751461988304,41.29751461988304,6.25,6.25,93.12499999999999,93.12499999999999,29.92097197284255,29.92097197284255,58.01624800069598,58.01624800069598,58.34510474491145,58.34510474491145,73.17351598173516,73.17351598173516,60.44316737159736,60.44316737159736,1,-1.4161642344857412,Mixed / Divergent
Oil & Gas,2020Q1,8081,35.94771588441727,35.94771588441727,32.96509502923976,32.96509502923976,12.916666666666668,12.916666666666668,45.520833333333336,45.520833333333336,42.6044610338601,42.6044610338601,57.84000653681134,57.84000653681134,48.80846270103204,48.80846270103204,50.27682648401827,50.27682648401827,50.87301045497638,50.87301045497638,2,-15.912525594827919,Weakening
Personal & Household Goods,2020Q1,8081,49.73647547867798,49.73647547867798,44.194992690058484,44.194992690058484,55.10416666666667,55.10416666666667,25.72916666666667,25.72916666666667,44.20050481316929,44.20050481316929,39.40440569369565,39.40440569369565,65.43182196972853,65.43182196972853,52.906678082191775,52.906678082191775,68.37265374338551,68.37265374338551,2,-7.390485182801832,Mixed / Divergent
Real Estate,2020Q1,8081,49.607998477180416,54.728567399244056,50.0,45.09803921568627,50.0,51.76470588235294,50.0,52.94117647058823,50.0,47.05882352941177,50.30433006535947,47.54289215686274,49.798021060275964,52.3202614379085,49.85294117647059,55.66666666666667,63.28278323445871,61.853533234367674,18,-2.2828479446701166,Mixed / Divergent
Retail,2020Q1,8081,50.1920063154495,66.46596844682625,50.0,50.0,50.0,40.0,50.0,50.0,50.0,37.5,50.0,33.333333333333336,50.0,66.66666666666667,50.0,45.0,72.85789586689549,80.83713849443063,3,-2.133269228361776,Mixed / Divergent
Technology,2020Q1,8081,53.415055087297965,53.415055087297965,48.94828216374269,48.94828216374269,48.4375,48.4375,53.75,53.75,37.60448972669122,37.60448972669122,47.72259938157298,47.72259938157298,56.86528768671755,56.86528768671755,50.01712328767124,50.01712328767124,67.56711833910099,67.56711833910099,2,-6.02003065556233,Mixed / Divergent
Travel & Leisure,2020Q1,8081,49.234009031362355,49.234009031362355,29.544956140350877,29.544956140350877,61.041666666666664,61.041666666666664,50.41666666666667,50.41666666666667,50.26957844705046,50.26957844705046,46.13173783952919,46.13173783952919,64.57859722505182,64.57859722505182,46.75228310502283,46.75228310502283,62.5824184693984,62.5824184693984,2,-20.139903582372206,Mixed / Divergent
Unknown,2020Q1,8081,68.74721139362441,68.74721139362441,60.45138888888889,60.45138888888889,59.374999999999986,59.374999999999986,51.666666666666664,51.666666666666664,44.99914559125085,44.99914559125085,2.1913367274192015,2.1913367274192015,87.05614004306935,87.05614004306935,48.697916666666664,48.697916666666664,71.26811861219547,71.26811861219547,1,4.923189304558811,Broad Improvement
Utilities,2020Q1,8081,49.30924676681693,50.188413780313326,50.0,51.66666666666667,50.0,54.0,50.0,50.0,50.0,45.0,50.0,53.333333333333336,50.69444444444445,46.388888888888886,50.0,54.0,53.560744611079535,48.63082040758329,6,-3.0160287769943466,Mixed / Divergent
Banks,2020Q2,8082,50.2041468257432,53.062520427997725,50.0,54.90196078431372,50.0,57.647058823529406,50.0,47.647058823529406,50.0,58.82352941176471,50.00000000000001,45.09803921568628,50.0,50.73529411764706,50.0,52.20588235294118,64.26765635911914,66.56306786027997,18,-0.5532980903306353,Mixed / Divergent
Basic Resources,2020Q2,8082,50.19931386740138,51.96799458499841,49.99999999999999,51.388888888888886,49.999999999999986,56.66666666666665,50.0,49.99999999999999,50.0,45.83333333333333,49.99999999999999,52.77777777777777,50.0,44.44444444444444,50.0,46.66666666666667,64.17341363464031,64.54702798658084,4,-0.39230039046130116,Mixed / Divergent
Chemicals,2020Q2,8082,50.2714761881152,46.40643129702228,50.0,41.666666666666664,50.0,50.0,50.0,55.0,50.0,37.5,50.0,54.166666666666664,50.0,47.22222222222222,50.0,50.0,65.58057943823371,65.64973962357035,5,-0.8287287347840078,Mixed / Divergent
Construction & Materials,2020Q2,8082,49.84212987730918,36.40879705528733,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.57142857142857,50.85703262786596,44.36507936507937,49.53493743176283,51.03174603174603,50.0,51.42857142857142,61.17460869541323,53.10371704053338,9,-1.6060932833958503,Mixed / Divergent
Financial Services,2020Q2,8082,50.0626296744951,57.2474551438019,50.0,47.916666666666664,50.0,47.5,50.0,50.0,50.0,50.0,49.66765873015873,49.345238095238095,48.88705173427396,51.97089947089947,50.3125,50.892857142857146,63.224891819472504,63.65696117033517,9,0.6736844702172959,Mixed / Divergent
Food & Beverage,2020Q2,8082,49.87082837726341,49.046374455976775,50.0,50.0,50.0,51.111111111111114,50.0,51.11111111111111,50.0,45.83333333333333,50.0,48.14814814814815,50.0,48.76543209876543,49.61111111111111,48.333333333333336,58.54572185259101,51.47024842266033,10,-1.1765111968232347,Mixed / Divergent
Health Care,2020Q2,8082,62.55569813203785,62.55569813203785,61.631944444444436,61.631944444444436,53.33333333333333,53.33333333333333,43.958333333333336,43.958333333333336,53.98145053475936,53.98145053475936,13.196384458299155,13.196384458299155,78.07881183655827,78.07881183655827,47.320205479452056,47.320205479452056,80.45327053769157,80.45327053769157,1,7.131212064025959,Mixed Improvement
Industrial Goods & Services,2020Q2,8082,49.811826086410306,51.55443519799955,50.0,50.0,50.0,45.0,50.0,40.0,50.0,43.75,50.0,50.0,51.041666666666664,46.29629629629629,50.0,55.0,53.49239895374602,55.21958118553083,5,-1.0470765056969142,Mixed / Divergent
Insurance,2020Q2,8082,52.82450717959443,52.82450717959443,43.229166666666664,43.229166666666664,7.083333333333333,7.083333333333333,89.37499999999999,89.37499999999999,33.15169817927171,33.15169817927171,52.66600630011816,52.66600630011816,59.075163836101154,59.075163836101154,71.44121004566209,71.44121004566209,50.73073839087749,50.73073839087749,1,1.2768229391144814,Mixed / Divergent
Oil & Gas,2020Q2,8082,35.26884040887357,35.26884040887357,22.743055555555557,22.743055555555557,10.625,10.625,55.62500000000001,55.62500000000001,42.90061194932518,42.90061194932518,57.06451272725715,57.06451272725715,49.896027710229035,49.896027710229035,45.195490867579906,45.195490867579906,54.13009885121005,54.13009885121005,2,-10.692501499657027,Weakening
Personal & Household Goods,2020Q2,8082,40.04804882011193,40.04804882011193,25.78125,25.78125,45.20833333333333,45.20833333333333,22.708333333333336,22.708333333333336,48.02867169595111,48.02867169595111,42.30911282506467,42.30911282506467,62.1731019863911,62.1731019863911,49.99999999999999,49.99999999999999,50.14479882558377,50.14479882558377,2,-17.176986884774607,Weakening
Real Estate,2020Q2,8082,49.98970990797156,51.88745903626589,50.0,53.92156862745099,50.0,51.76470588235294,50.0,50.588235294117645,50.0,50.73529411764706,50.16339869281045,46.200980392156865,49.981844589687725,49.877450980392155,50.08169934640523,54.84313725490197,60.467398445723035,60.15209504167821,18,-0.41686868102566876,Mixed / Divergent
Retail,2020Q2,8082,50.78748764800079,61.361297231339535,50.0,50.0,50.0,35.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.6428068365604,83.64021567104088,3,-0.3506302494357101,Mixed / Divergent
Technology,2020Q2,8082,55.28210805276666,55.28210805276666,53.03819444444444,53.03819444444444,48.75,48.75,53.125,53.125,34.4025536350904,34.4025536350904,49.76975781381542,49.76975781381542,55.551482611636956,55.551482611636956,51.92494292237443,51.92494292237443,72.60956741071013,72.60956741071013,2,7.536320637935589,Mixed Improvement
Travel & Leisure,2020Q2,8082,45.05653976289305,45.05653976289305,23.524305555555557,23.524305555555557,61.979166666666664,61.979166666666664,46.25,46.25,62.143692704354464,62.143692704354464,40.37736512354556,40.37736512354556,54.40808780519502,54.40808780519502,48.067922374429216,48.067922374429216,61.554150298049876,61.554150298049876,2,-20.221149807928796,Mixed / Divergent
Unknown,2020Q2,8082,77.43838988249193,77.43838988249193,44.61805555555555,44.61805555555555,53.958333333333336,53.958333333333336,97.91666666666666,97.91666666666666,19.78715728715729,19.78715728715729,2.4050119410944153,2.4050119410944153,87.11337447530377,87.11337447530377,55.46875,55.46875,59.04420989520241,59.04420989520241,1,15.071444198200602,Broad Improvement
Utilities,2020Q2,8082,49.87428115791772,48.811326308727566,50.0,50.0,50.0,56.0,50.0,50.0,50.0,47.5,50.0,48.33333333333333,50.64814814814815,44.16666666666667,50.0,53.0,55.89082887942834,56.63066089182382,6,-0.3529969899993546,Mixed / Divergent
Banks,2020Q3,8083,49.42126245380431,50.829418311107936,50.0,48.529411764705884,50.0,57.64705882352941,50.0,46.470588235294116,50.0,55.88235294117648,50.0,50.0,50.0,50.73529411764706,50.0,53.6764705882353,60.765931797273225,59.698939963979235,18,-2.5446693754414227,Mixed / Divergent
Basic Resources,2020Q3,8083,49.44501750510188,53.52585044308975,50.0,56.94444444444444,50.0,56.666666666666664,50.0,60.0,49.99999999999999,45.83333333333333,49.99999999999999,49.99999999999999,49.99999999999999,42.59259259259259,50.0,50.0,61.2291554785227,59.512480904946806,4,-2.182850488735987,Mixed / Divergent
Chemicals,2020Q3,8083,49.784746798782066,51.874597689900106,50.0,62.5,50.0,50.0,50.0,40.0,50.0,50.0,50.0,66.66666666666667,50.0,44.44444444444444,50.0,50.0,67.85387929306889,74.13605008115879,5,-2.461948914436256,Mixed / Divergent
Construction & Materials,2020Q3,8083,49.61200780333952,47.52857307679926,50.0,54.76190476190476,50.0,47.5,50.0,47.5,50.0,50.0,48.78472222222222,48.47222222222223,50.88183421516755,51.785714285714285,50.0,52.5,58.19413158731761,58.08463017820544,9,-1.9297437188894975,Mixed / Divergent
Financial Services,2020Q3,8083,49.14208642855297,46.4739292908617,50.0,52.083333333333336,50.0,55.0,50.0,45.0,49.88425925925926,50.0,50.85383597883598,50.793650793650805,47.99107142857142,52.38095238095238,50.59027777777778,54.642857142857146,62.38251305135097,63.31564000046385,9,-1.2542336788120423,Mixed / Divergent
Food & Beverage,2020Q3,8083,49.36746500460329,46.6534998969381,49.99999999999999,49.07407407407406,50.0,45.55555555555556,50.0,61.11111111111111,49.99999999999999,43.05555555555556,50.0,45.37037037037037,50.0,46.29629629629629,49.833333333333336,49.58333333333334,60.05021446140114,54.650450186851195,10,-2.5065854355979695,Mixed / Divergent
